game_id,home_odds,away_odds,ot_odds,home_result,away_result,ot_result
2022-10-24WPGSTL,0.41494,0.40323,0.23697,1,0,0
2022-10-25BOSDAL,0.51813,0.30769,0.23041,1,0,0
2022-10-25CBJARI,0.59172,0.25445,0.20964,0,1,0
2022-10-25CGYPIT,0.5291,0.30488,0.22075,1,0,0
2022-10-25CHIFLA,0.26247,0.5814,0.21142,1,0,0
2022-10-25DETNJD,0.41841,0.4065,0.23041,0,1,0
2022-10-25LAKTBL,0.36765,0.45662,0.23041,1,0,0
2022-10-25MTLMIN,0.2809,0.56497,0.21322,0,1,0
2022-10-25NYRCOL,0.41322,0.40486,0.23256,0,0,1
2022-10-25SEABUF,0.45455,0.37313,0.22779,1,0,0
2022-10-25SJSVGK,0.32468,0.50505,0.22831,0,1,0
2022-10-26ANATBL,0.33898,0.49261,0.22272,0,1,0
2022-10-26NYINYR,0.46729,0.35336,0.23095,1,0,0
2022-10-26STLEDM,0.4065,0.42373,0.22624,0,1,0
2022-10-27BOSDET,0.5988,0.24213,0.21368,1,0,0
2022-10-27BUFMTL,0.53763,0.30211,0.22026,0,1,0
2022-10-27CHIEDM,0.27548,0.57143,0.21008,0,1,0
2022-10-27DALWSH,0.4386,0.37453,0.23866,1,0,0
2022-10-27LAKWPG,0.4717,0.34965,0.23419,0,1,0
2022-10-27NSHSTL,0.5102,0.3125,0.22831,1,0,0
2022-10-27OTTMIN,0.3876,0.44053,0.22624,0,1,0
2022-10-27PHIFLA,0.26954,0.56818,0.21552,1,0,0
2022-10-27SEAVAN,0.45249,0.369,0.23148,0,1,0
2022-10-27SJSTOR,0.26042,0.5814,0.21459,0,0,1
2022-10-28ARIWPG,0.3413,0.49261,0.22573,0,0,1
2022-10-28CARNYI,0.54945,0.28011,0.22222,0,1,0
2022-10-28CBJBOS,0.34483,0.48309,0.22989,0,1,0
2022-10-28NJDCOL,0.37037,0.45872,0.22831,1,0,0
2022-10-28VANPIT,0.28249,0.55556,0.22075,1,0,0
