target_game_id,team,season,profit,win,reg_win,overtime,score,opp_score,goals,opp_goals,xGoalsPercentage,xGoals,opp_xGoals
2014-10-12LAKWPG,WPG,2014,-1,0,0,0,1,4,1,4,0.4339,2.099,2.739
2014-10-14WSHSJS,SJS,2014,-1,1,0,1,6,5,4,3,0.3554,1.504,2.728
2014-10-14NSHCGY,CGY,2014,-1,1,0,1,3,2,1,2,0.3772,1.116,1.843
2014-10-16LAKSTL,STL,2014,-1,0,0,1,0,1,0,0,0.7674,2.577,0.781
2014-10-13FLAOTT,OTT,2014,1.34000234,1,1,0,1,0,0,0,0.3105,0.903,2.005
2014-10-13TBLMTL,TBL,2014,1.070007659,1,1,0,7,1,4,1,0.6448,2.737,1.508
2014-10-16PITDAL,PIT,2014,-1,0,0,0,2,3,0,2,0.528,1.709,1.528
2014-10-12NYRTOR,TOR,2014,2.539948317,1,1,0,6,3,3,3,0.4143,2.327,3.29
2014-10-17EDMVAN,VAN,2014,1.0500205,1,1,0,2,0,1,0,0.4985,1.614,1.624
2014-10-14LAKEDM,EDM,2014,-1,0,0,0,1,6,1,4,0.5198,2.179,2.013
2014-10-17WPGNSH,WPG,2014,-1,0,0,0,0,2,0,2,0.3899,1.138,1.781
2014-10-14LAKEDM,LAK,2014,0.639989504,1,1,0,6,1,4,1,0.4802,2.013,2.179
2014-10-14NYRNYI,NYR,2014,-1,0,0,0,3,6,3,5,0.5021,2.467,2.446
2014-10-14TORCOL,TOR,2014,-1,1,0,1,3,2,2,2,0.5981,3.234,2.173
2014-10-15DETBOS,BOS,2014,-1,1,0,1,3,2,2,1,0.7629,2.992,0.93
2014-10-14TORCOL,COL,2014,-1,0,0,1,2,3,2,2,0.4019,2.173,3.234
2014-10-14PHIANA,ANA,2014,-1,1,0,1,4,3,3,1,0.4952,1.651,1.683
2014-10-14CARBUF,BUF,2014,-1,1,0,1,4,3,3,3,0.2058,0.671,2.589
2014-10-17BUFFLA,FLA,2014,1.359993392,1,1,0,1,0,1,0,0.682,2.067,0.964
