game_date,ANA,ARI,BOS,BUF,CAR,CBJ,CGY,CHI,COL,DAL,DET,EDM,FLA,LAK,MIN,MTL,NJD,NSH,NYI,NYR,OTT,PHI,PIT,SEA,SJS,STL,TBL,TOR,VAN,VGK,WPG,WSH
2014-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-09,,,0.55249,,,,0.369,,,,,,,0.47393,,0.39062,,,,,,0.26954,,,0.33784,,,0.40984,0.44053,,,
2014-10-10,0.32895,0.46296,0.483715,0.37736,,0.4329,0.35514999999999997,0.42918,0.35714,0.37879,0.38911,0.4717,0.26385,0.47393,0.45045,0.36596,0.37037,0.45455,,0.30581,0.35211,0.35216000000000003,0.49261,,0.33784,0.50505,0.57143,0.40984,0.44053,,0.34014,0.46948
2014-10-11,0.32895,0.46296,0.483715,0.37736,0.36765,0.4329,0.35514999999999997,0.42918,0.35714,0.37879,0.38911,0.4717,0.26385,0.47393,0.45045,0.36596,0.37037,0.45455,0.44444,0.30581,0.35211,0.35216000000000003,0.49261,,0.33784,0.50505,0.57143,0.40984,0.44053,,0.34014,0.46948
2014-10-12,0.35903,0.40449,0.4969966666666667,0.29284499999999997,0.334425,0.42221,0.3201,0.53306,0.39596,0.38395,0.40464,0.374355,0.31849,0.46738,0.41041,0.3778433333333333,0.40163499999999996,0.43735999999999997,0.484,0.348985,0.319735,0.3713866666666667,0.482155,,0.44516500000000003,0.5432250000000001,0.555985,0.379135,0.49349,,0.308575,0.38267
2014-10-13,0.35903,0.40449,0.4969966666666667,0.29284499999999997,0.334425,0.42221,0.3201,0.53306,0.39596,0.38395,0.40464,0.374355,0.31849,0.49991,0.41041,0.3778433333333333,0.40163499999999996,0.43735999999999997,0.484,0.41186666666666666,0.319735,0.3713866666666667,0.482155,,0.44516500000000003,0.5432250000000001,0.555985,0.34692000000000006,0.49349,,0.29275,0.38267
2014-10-14,0.4225033333333334,0.40449,0.5016125,0.28939333333333334,0.334425,0.42221,0.3201,0.53306,0.3523,0.38395,0.40464,0.374355,0.34102666666666664,0.49991,0.41041,0.3681275,0.40163499999999996,0.43735999999999997,0.484,0.41186666666666666,0.3556066666666666,0.3713866666666667,0.482155,,0.44516500000000003,0.5432250000000001,0.5316866666666666,0.34692000000000006,0.49349,,0.29275,0.38267
2014-10-15,0.42463500000000004,0.40449,0.5016125,0.2893,0.4360275,0.42961999999999995,0.3129625,0.53306,0.36356666666666665,0.37988333333333335,0.40464,0.3296966666666667,0.34102666666666664,0.5273725,0.41041,0.3681275,0.39121333333333325,0.4717533333333333,0.42316,0.4225375,0.3556066666666666,0.374325,0.482155,,0.43983666666666665,0.5432250000000001,0.5108725,0.367485,0.49349,,0.29275,0.38481666666666675
2014-10-16,0.42463500000000004,0.45588000000000006,0.50433,0.2893,0.4360275,0.42961999999999995,0.29036999999999996,0.5732366666666667,0.36356666666666665,0.37988333333333335,0.39961250000000004,0.315955,0.34102666666666664,0.5273725,0.41041,0.3681275,0.39121333333333325,0.4717533333333333,0.42316,0.4225375,0.3556066666666666,0.374325,0.482155,,0.43983666666666665,0.5432250000000001,0.5108725,0.367485,0.49349,,0.29275,0.38481666666666675
2014-10-17,0.42463500000000004,0.45588000000000006,0.47865199999999997,0.2893,0.37278833333333333,0.42961999999999995,0.29036999999999996,0.5732366666666667,0.3718825,0.3588775,0.39961250000000004,0.315955,0.34102666666666664,0.511988,0.41041,0.379972,0.3833375,0.4717533333333333,0.40885,0.457078,0.37000999999999995,0.374325,0.5006466666666667,,0.4390475,0.48077333333333333,0.5108725,0.367485,0.49349,,0.29275,0.40071999999999997
2014-10-18,0.43404800000000004,0.45588000000000006,0.47865199999999997,0.30719799999999997,0.37278833333333333,0.45882749999999994,0.2887916666666666,0.5732366666666667,0.3718825,0.3588775,0.3926716666666667,0.3225825,0.36170250000000004,0.511988,0.37942,0.379972,0.3833375,0.4496,0.40885,0.457078,0.37000999999999995,0.374325,0.5006466666666667,,0.4390475,0.48077333333333333,0.5108725,0.38094400000000006,0.4788275,,0.3282575,0.40071999999999997
2014-10-19,0.43404800000000004,0.4305625,0.4957766666666667,0.29829999999999995,0.37278833333333333,0.439004,0.2887916666666666,0.5778575,0.3604,0.388112,0.404955,0.3225825,0.340382,0.511988,0.37942,0.4016766666666666,0.38329799999999997,0.40930800000000006,0.38403750000000003,0.457078,0.38609799999999994,0.362354,0.5056925,,0.43634399999999995,0.47526,0.48902,0.373962,0.4552716666666667,,0.3282575,0.436856
2014-10-20,0.4385116666666667,0.4305625,0.4957766666666667,0.29829999999999995,0.37278833333333333,0.439004,0.29499714285714285,0.5778575,0.3604,0.388112,0.404955,0.3225825,0.340382,0.5075633333333333,0.3633233333333333,0.4016766666666666,0.38329799999999997,0.40930800000000006,0.38403750000000003,0.4506333333333334,0.38609799999999994,0.362354,0.5056925,,0.42847166666666664,0.45063,0.48902,0.373962,0.4552716666666667,,0.360166,0.436856
2014-10-21,0.4385116666666667,0.4305625,0.4957766666666667,0.29829999999999995,0.37278833333333333,0.439004,0.29499714285714285,0.5778575,0.3604,0.388112,0.404955,0.320566,0.340382,0.5075633333333333,0.3633233333333333,0.4016766666666666,0.38329799999999997,0.40930800000000006,0.38403750000000003,0.4506333333333334,0.38609799999999994,0.362354,0.5056925,,0.42847166666666664,0.45063,0.4943216666666667,0.373962,0.4552716666666667,,0.360166,0.436856
