"game_id","home_team","away_team","home_score","away_score","season","game_time","game_date"
"2022-10-22CBJPIT","CBJ","PIT","3","6","2022","19:00:00","2022-10-22"
"2022-10-22CGYCAR","CGY","CAR","3","2","2022","22:00:00","2022-10-22"
"2022-10-22EDMSTL","EDM","STL","0","2","2022","16:00:00","2022-10-22"
"2022-10-22MTLDAL","MTL","DAL","2","5","2022","19:00:00","2022-10-22"
"2022-10-22NJDSJS","NJD","SJS","2","1","2022","13:00:00","2022-10-22"
"2022-10-22NSHPHI","NSH","PHI","1","3","2022","20:00:00","2022-10-22"
"2022-10-22OTTARI","OTT","ARI","6","2","2022","16:00:00","2022-10-22"
"2022-10-22TBLNYI","TBL","NYI","5","3","2022","19:00:00","2022-10-22"
"2022-10-22VANBUF","VAN","BUF","1","5","2022","22:00:00","2022-10-22"
"2022-10-22VGKCOL","VGK","COL","2","3","2022","22:00:00","2022-10-22"
"2022-10-22WPGTOR","WPG","TOR","1","4","2022","19:00:00","2022-10-22"
"2022-10-22WSHLAK","WSH","LAK","4","3","2022","19:00:00","2022-10-22"
"2022-10-23CHISEA","CHI","SEA","5","4","2022","14:00:00","2022-10-23"
"2022-10-23DETANA","DET","ANA","5","1","2022","17:00:00","2022-10-23"
"2022-10-23FLANYI","FLA","NYI","3","2","2022","17:00:00","2022-10-23"
"2022-10-23NYRCBJ","NYR","CBJ","1","5","2022","17:00:00","2022-10-23"
"2022-10-23PHISJS","PHI","SJS","0","3","2022","19:00:00","2022-10-23"
"2022-10-24EDMPIT","EDM","PIT","6","3","2022","20:00:00","2022-10-24"
"2022-10-24NJDWSH","NJD","WSH","3","6","2022","19:00:00","2022-10-24"
"2022-10-24OTTDAL","OTT","DAL","4","2","2022","19:00:00","2022-10-24"
"2022-10-24VANCAR","VAN","CAR","2","3","2022","22:30:00","2022-10-24"
"2022-10-24VGKTOR","VGK","TOR","3","1","2022","22:00:00","2022-10-24"
"2022-10-24WPGSTL","WPG","STL","4","0","2022","20:00:00","2022-10-24"
"2022-10-25BOSDAL","BOS","DAL","3","1","2022","19:00:00","2022-10-25"
"2022-10-25CBJARI","CBJ","ARI","3","6","2022","19:00:00","2022-10-25"
"2022-10-25CGYPIT","CGY","PIT","4","1","2022","21:00:00","2022-10-25"
"2022-10-25CHIFLA","CHI","FLA","4","2","2022","20:30:00","2022-10-25"
