game_id,team,opp_team,season,next_game_id,score,opp_score,win,reg_win,overtime,odds,opp_odds,ot_odds,game_date,situation,is_home,game_time,iceTime,opp_xGoalsPercentage,xGoalsPercentage,opp_corsiPercentage,corsiPercentage,opp_fenwickPercentage,fenwickPercentage,opp_xOnGoal,opp_xGoals,opp_xRebounds,opp_xFreeze,opp_xPlayStopped,opp_xPlayContinuedInZone,opp_xPlayContinuedOutsideZone,opp_flurryAdjustedxGoals,opp_scoreVenueAdjustedxGoals,opp_flurryScoreVenueAdjustedxGoals,opp_shotsOnGoal,opp_missedShots,opp_blockedShotAttempts,opp_shotAttempts,opp_goals,opp_rebounds,opp_reboundGoals,opp_freeze,opp_playStopped,opp_playContinuedInZone,opp_playContinuedOutsideZone,opp_savedShotsOnGoal,opp_savedUnblockedShotAttempts,opp_penalties,opp_penalityMinutes,opp_faceOffsWon,opp_hits,opp_takeaways,opp_giveaways,opp_lowDangerShots,opp_mediumDangerShots,opp_highDangerShots,opp_lowDangerxGoals,opp_mediumDangerxGoals,opp_highDangerxGoals,opp_lowDangerGoals,opp_mediumDangerGoals,opp_highDangerGoals,opp_scoreAdjustedShotsAttempts,opp_unblockedShotAttempts,opp_scoreAdjustedUnblockedShotAttempts,opp_dZoneGiveaways,opp_xGoalsFromxReboundsOfShots,opp_xGoalsFromActualReboundsOfShots,opp_reboundxGoals,opp_totalShotCredit,opp_scoreAdjustedTotalShotCredit,opp_scoreFlurryAdjustedTotalShotCredit,xOnGoal,xGoals,xRebounds,xFreeze,xPlayStopped,xPlayContinuedInZone,xPlayContinuedOutsideZone,flurryAdjustedxGoals,scoreVenueAdjustedxGoals,flurryScoreVenueAdjustedxGoals,shotsOnGoal,missedShots,blockedShotAttempts,shotAttempts,goals,rebounds,reboundGoals,freeze,playStopped,playContinuedInZone,playContinuedOutsideZone,savedShotsOnGoal,savedUnblockedShotAttempts,penalties,penalityMinutes,faceOffsWon,hits,takeaways,giveaways,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,scoreAdjustedShotsAttempts,unblockedShotAttempts,scoreAdjustedUnblockedShotAttempts,dZoneGiveaways,xGoalsFromxReboundsOfShots,xGoalsFromActualReboundsOfShots,reboundxGoals,totalShotCredit,scoreAdjustedTotalShotCredit,scoreFlurryAdjustedTotalShotCredit
2022-10-12EDMVAN,EDM,VAN,2022,2022-10-15EDMCGY,5,3,1,1,0,0.54054,0.29412,0.21978,2022-10-12,5on5,1,22:00:00,2600,0.528,0.472,0.5119,0.4881,0.569,0.431,22.588,1.761,1.498,5.646,0.742,13.38,9.974,1.754,1.943,1.936,25,8,10,43,2,0,0,6,0,12,13,23,31,1,2,25,29,6,6,27,5,1,0.896,0.659,0.207,1,1,0,47.731,33,36.573,5,0.304,0.0,0.0,2.065,2.276,2.266,17.995,1.574,1.277,4.235,0.595,9.978,7.34,1.503,1.47,1.404,19,6,16,41,1,1,0,1,1,12,9,18,24,7,14,20,37,5,16,19,5,1,0.683,0.654,0.237,0,1,0,37.54,25,23.258,10,0.263,0.237,0.237,1.6,1.499,1.467
2022-10-12EDMVAN,VAN,EDM,2022,2022-10-15PHIVAN,3,5,0,0,0,0.29412,0.54054,0.21978,2022-10-12,5on5,0,22:00:00,2600,0.472,0.528,0.4881,0.5119,0.431,0.569,17.995,1.574,1.277,4.235,0.595,9.978,7.34,1.503,1.47,1.404,19,6,16,41,1,1,0,1,1,12,9,18,24,7,14,20,37,5,16,19,5,1,0.683,0.654,0.237,0,1,0,37.54,25,23.258,10,0.263,0.237,0.237,1.6,1.499,1.467,22.588,1.761,1.498,5.646,0.742,13.38,9.974,1.754,1.943,1.936,25,8,10,43,2,0,0,6,0,12,13,23,31,1,2,25,29,6,6,27,5,1,0.896,0.659,0.207,1,1,0,47.731,33,36.573,5,0.304,0.0,0.0,2.065,2.276,2.266
2022-10-12MTLTOR,MTL,TOR,2022,2022-10-14DETMTL,4,3,1,1,0,0.24752,0.60241,0.20492,2022-10-12,5on5,1,19:00:00,2659,0.5136,0.4864,0.5529,0.4471,0.5273,0.4727,21.924,2.152,1.349,5.67,0.817,10.621,8.392,2.106,2.299,2.25,25,4,18,47,2,1,1,5,1,9,11,23,27,4,8,20,17,10,10,20,6,3,0.589,0.763,0.799,0,1,1,49.214,29,30.304,7,0.282,0.304,0.354,2.08,2.213,2.181,20.196,2.038,1.316,4.936,0.66,9.538,7.513,2.0,1.932,1.896,16,10,12,38,4,3,0,5,0,3,11,12,22,4,6,17,17,8,20,17,7,2,0.617,0.937,0.484,1,2,1,36.422,26,24.947,18,0.276,0.501,0.501,1.813,1.732,1.716
2022-10-12MTLTOR,TOR,MTL,2022,2022-10-13TORWSH,3,4,0,0,0,0.60241,0.24752,0.20492,2022-10-12,5on5,0,19:00:00,2659,0.4864,0.5136,0.4471,0.5529,0.4727,0.5273,20.196,2.038,1.316,4.936,0.66,9.538,7.513,2.0,1.932,1.896,16,10,12,38,4,3,0,5,0,3,11,12,22,4,6,17,17,8,20,17,7,2,0.617,0.937,0.484,1,2,1,36.422,26,24.947,18,0.276,0.501,0.501,1.813,1.732,1.716,21.924,2.152,1.349,5.67,0.817,10.621,8.392,2.106,2.299,2.25,25,4,18,47,2,1,1,5,1,9,11,23,27,4,8,20,17,10,10,20,6,3,0.589,0.763,0.799,0,1,1,49.214,29,30.304,7,0.282,0.304,0.354,2.08,2.213,2.181
2022-10-12WSHBOS,WSH,BOS,2022,2022-10-13TORWSH,2,5,0,0,0,0.46296,0.35211,0.23256,2022-10-12,5on5,1,19:00:00,2702,0.5307,0.4693,0.4659,0.5341,0.4516,0.5484,21.115,1.928,1.312,4.955,0.723,10.346,8.735,1.866,2.126,2.057,21,7,13,41,3,2,1,5,0,8,10,18,25,4,8,28,31,4,7,20,6,2,0.664,0.688,0.576,1,1,1,45.702,28,31.002,6,0.271,0.361,0.361,1.839,2.021,2.0,25.494,1.705,1.666,5.667,0.761,13.731,10.47,1.656,1.571,1.525,24,10,13,47,2,1,0,6,0,18,7,22,32,3,6,14,45,5,14,26,7,1,0.69,0.803,0.212,0,2,0,43.005,34,31.172,6,0.343,0.212,0.212,1.835,1.691,1.645
2022-10-12WSHBOS,BOS,WSH,2022,2022-10-15BOSARI,5,2,1,1,0,0.35211,0.46296,0.23256,2022-10-12,5on5,0,19:00:00,2702,0.4693,0.5307,0.5341,0.4659,0.5484,0.4516,25.494,1.705,1.666,5.667,0.761,13.731,10.47,1.656,1.571,1.525,24,10,13,47,2,1,0,6,0,18,7,22,32,3,6,14,45,5,14,26,7,1,0.69,0.803,0.212,0,2,0,43.005,34,31.172,6,0.343,0.212,0.212,1.835,1.691,1.645,21.115,1.928,1.312,4.955,0.723,10.346,8.735,1.866,2.126,2.057,21,7,13,41,3,2,1,5,0,8,10,18,25,4,8,28,31,4,7,20,6,2,0.664,0.688,0.576,1,1,1,45.702,28,31.002,6,0.271,0.361,0.361,1.839,2.021,2.0
2022-10-13BUFOTT,BUF,OTT,2022,2022-10-15BUFFLA,4,1,1,1,0,0.39526,0.4329,0.23202,2022-10-13,5on5,1,19:00:00,2648,0.5076,0.4924,0.5,0.5,0.4923,0.5077,22.97,1.734,1.476,5.305,0.734,13.011,9.74,1.717,1.802,1.786,29,3,8,40,1,0,0,4,0,9,18,28,31,4,8,19,17,4,2,22,10,0,0.61,1.124,0.0,0,1,0,40.722,32,32.678,0,0.301,0.0,0.0,2.034,2.117,2.097,24.569,1.682,1.543,5.593,0.851,13.44,9.891,1.665,1.638,1.621,26,7,7,40,2,1,0,4,1,10,15,24,31,2,4,16,8,2,6,25,7,1,0.643,0.773,0.266,0,2,0,39.53,33,32.999,2,0.318,0.266,0.266,1.735,1.683,1.671
2022-10-13BUFOTT,OTT,BUF,2022,2022-10-15TOROTT,1,4,0,0,0,0.4329,0.39526,0.23202,2022-10-13,5on5,0,19:00:00,2648,0.4924,0.5076,0.5,0.5,0.5077,0.4923,24.569,1.682,1.543,5.593,0.851,13.44,9.891,1.665,1.638,1.621,26,7,7,40,2,1,0,4,1,10,15,24,31,2,4,16,8,2,6,25,7,1,0.643,0.773,0.266,0,2,0,39.53,33,32.999,2,0.318,0.266,0.266,1.735,1.683,1.671,22.97,1.734,1.476,5.305,0.734,13.011,9.74,1.717,1.802,1.786,29,3,8,40,1,0,0,4,0,9,18,28,31,4,8,19,17,4,2,22,10,0,0.61,1.124,0.0,0,1,0,40.722,32,32.678,0,0.301,0.0,0.0,2.034,2.117,2.097
2022-10-13CGYCOL,CGY,COL,2022,2022-10-15EDMCGY,5,3,1,1,0,0.46083,0.35971,0.23256,2022-10-13,5on5,1,21:30:00,2415,0.4089,0.5911,0.4706,0.5294,0.4902,0.5098,18.494,1.223,1.055,4.552,0.573,9.625,7.972,1.194,1.222,1.193,19,6,7,32,1,1,0,9,1,8,5,18,24,6,12,14,13,6,10,19,6,0,0.438,0.786,0.0,0,1,0,30.611,25,24.266,7,0.214,0.122,0.122,1.315,1.313,1.28,19.046,1.768,1.222,4.378,0.651,10.439,7.541,1.758,1.717,1.707,21,5,10,36,2,1,0,5,0,6,12,19,24,5,10,25,19,8,7,21,3,2,0.683,0.438,0.647,0,0,2,35.287,26,25.423,4,0.252,0.054,0.054,1.966,1.911,1.902
2022-10-13CGYCOL,COL,CGY,2022,2022-10-17MINCOL,3,5,0,0,0,0.35971,0.46083,0.23256,2022-10-13,5on5,0,21:30:00,2415,0.5911,0.4089,0.5294,0.4706,0.5098,0.4902,19.046,1.768,1.222,4.378,0.651,10.439,7.541,1.758,1.717,1.707,21,5,10,36,2,1,0,5,0,6,12,19,24,5,10,25,19,8,7,21,3,2,0.683,0.438,0.647,0,0,2,35.287,26,25.423,4,0.252,0.054,0.054,1.966,1.911,1.902,18.494,1.223,1.055,4.552,0.573,9.625,7.972,1.194,1.222,1.193,19,6,7,32,1,1,0,9,1,8,5,18,24,6,12,14,13,6,10,19,6,0,0.438,0.786,0.0,0,1,0,30.611,25,24.266,7,0.214,0.122,0.122,1.315,1.313,1.28
