"team_id","team_name"
"1","ANA"
"2","ARI"
"3","BOS"
"4","BUF"
"5","CAR"
"6","CBJ"
"7","CGY"
"8","CHI"
"9","COL"
"10","DAL"
"11","DET"
"12","EDM"
"13","FLA"
"14","LAK"
"15","MIN"
"16","MTL"
"17","NJD"
"18","NSH"
"19","NYI"
"20","NYR"
"21","OTT"
"22","PHI"
"23","PIT"
"24","SEA"
"25","SJS"
"26","STL"
"27","TBL"
"28","TOR"
"29","VAN"
"30","VGK"
"31","WPG"
"32","WSH"
